Tournament,Lv,Date,Ev,Rd,Aff,Neg,Vote,Result
Mid America Championship,C,2022-02-18,Open,R2,MisSta Hartter & Woodall,UTD Lasseter & Watson,Neg,
Mid America Championship,C,2022-02-18,Open,R1,Columb Amadea Datel,MisSta Shockley & Wilkinson,Aff,
Texas Open,C,2022-02-05,NOV,R6,Southern Nazarene Castellanos & McFerren,Liberty Burton & Denton,Neg,
Texas Open,C,2022-02-05,JV,R5,Michigan State Kamal & Van Zant,NYU Ciacciarelli & Teng,Aff,
Texas Open,C,2022-02-05,JV,R3,Liberty Dellinger & Megill,George Mason Buonaspina & Rizzoli,Aff,
Texas Open,C,2022-02-05,NOV,R1,George Mason Bhurtel & Yalch,Liberty Larson & Nguyen,Aff,
Franklin R Shirley at Wake Forest,C,2021-11-12,SHIR,Double,George Mason BG,Trinity NM,Aff,"Aff								5-0"
Franklin R Shirley at Wake Forest,C,2021-11-12,SHIR,RD 1,Wake Forest BT,Michigan/Liberty KW,Aff,
UCO Joe C Jackson,C,2021-11-05,Open,Sems,JCCC Babcock & Babcock,UCO Huffman & Wendland,Aff,"Aff								2-1"
UCO Joe C Jackson,C,2021-11-05,Open,R6,UTD Lasseter & Watson,UTSA Hartline & Umesh,Aff,
UCO Joe C Jackson,C,2021-11-05,Open,R5,Texas Moura Burk & Do,MOState Cade & Reeves,Aff,
UCO Joe C Jackson,C,2021-11-05,Open,R4,Wyomin'/Columb Cole & Datel,Wichita Hinecker & Phillips,Neg,
UCO Joe C Jackson,C,2021-11-05,Open,R3,Wichita Benson & Wentling,UTD Jones & Smith,Aff,
UCO Joe C Jackson,C,2021-11-05,NOV,R2,UTSA Gray & Valdez-Ramirez,SMCS Barajas & Goldstein,Neg,
UCO Joe C Jackson,C,2021-11-05,Open,R1,JCCC Babcock & Babcock,Wichita Chavez & Hummingbird,Aff,
Wayne State George Ziegelmueller Invitational AKA The Ziggy,C,2021-10-22,Open,Quarte,Wake Forest CM,Washington/Columbia AD,Neg,"Neg								3-0"
Wayne State George Ziegelmueller Invitational AKA The Ziggy,C,2021-10-22,JV,Quarte,Indiana HF,New School LK,Neg,"Aff								2-1"
Wayne State George Ziegelmueller Invitational AKA The Ziggy,C,2021-10-22,JV,R4,New School LK,Indiana HF,Neg,
Wayne State George Ziegelmueller Invitational AKA The Ziggy,C,2021-10-22,Open,R1,Wyoming PS,Wake Forest DL,Neg,
Binghamton 4th Annual Phyllis Schatz Invitational,C,2021-09-24,Novi,SEMIS,Cornell DD,George Mason BJ,Neg,"Neg								3-0"
Binghamton 4th Annual Phyllis Schatz Invitational,C,2021-09-24,Novi,QUART,Liberty IR,Cornell DD,Neg,"Neg								3-0"
Binghamton 4th Annual Phyllis Schatz Invitational,C,2021-09-24,Novi,OCTS,Cornell DD,Rochester KH,Aff,"Aff								3-0"
Binghamton 4th Annual Phyllis Schatz Invitational,C,2021-09-24,Novi,N6,Liberty IR,George Mason BJ,Neg,
Binghamton 4th Annual Phyllis Schatz Invitational,C,2021-09-24,JV,R2,George Mason BR,Liberty JP,Neg,
Binghamton 4th Annual Phyllis Schatz Invitational,C,2021-09-24,Novi,N1,George Mason AZ,Texas Tech/Binghamton RR,Aff,
Northwestern University Season Opener,C,2021-09-17,Open,Octas,Liberty CR,Emory HM,Neg,"Aff								2-1"
Northwestern University Season Opener,C,2021-09-17,Open,Double,Johnson County Community BB,Michigan MM,Aff,"Aff								2-1"
Northwestern University Season Opener,C,2021-09-17,Open,RD 6,UTD BM,Emory BW,Aff,
Northwestern University Season Opener,C,2021-09-17,Open,RD 5,Emory PR,Wake Forest DT,Neg,
Northwestern University Season Opener,C,2021-09-17,Open,RD 4,Liberty CW,Emory NP,Neg,
Northwestern University Season Opener,C,2021-09-17,Open,RD 3,Wake Forest BP,Emory HM,Neg,
Northwestern University Season Opener,C,2021-09-17,Open,RD 2,Johnson County Community BB,Michigan DH,Aff,
Northwestern University Season Opener,C,2021-09-17,Open,RD 1,Michigan PS,Baylor TW,Neg,
