Tournament,Lv,Date,Ev,Rd,Aff,Neg,Vote,Result
PNW  JCCC,C,2021-03-13,JV,Showca,Western Washington Olivia Palmer & Laura Roark,UVM Oliver Minshall & Isabel Birney,Neg,"Neg								2-1"
PNW  JCCC,C,2021-03-13,Open,R5,Western Washington Keagan King,Puget Sound Gabriel Alves de Lima & Ella DeMerritt,Aff,
PNW  JCCC,C,2021-03-13,JV,R3,Puget Sound Delaney Morse & Lilly Roberts,Oregon Soren Scheu & Amanda McDougal,Aff,
PNW  JCCC,C,2021-03-13,JV,R1,Western Washington Nicole Askarian & Jacob O'Donnell,Minnesota Calvin Nordhougen Melloh & Parker Vegemast,Aff,
Puget Sound Logger,C,2021-02-27,PNW,R4,Johnson County Community Sanches & Chavez,Oregon Gondoputro & Platenberg,Neg,
Puget Sound Logger,C,2021-02-27,PNW,R3,Oregon Ford & Ford,Gonzaga Brawdy & Thatcher,Neg,
Puget Sound Logger,C,2021-02-27,PNW,R2,Oregon MacDougal & Scheu,Puget Sound Xu & Obbard,Aff,
The Savannah Smackdown,HS,2021-01-31,LD,R3,263,254,Neg,
The Savannah Smackdown,HS,2021-01-31,LD,R3,274,165,Aff,
New York City Invitational Debate and Speech Tournament,HS,2020-10-15,LD,Sextos,Lexington BF,Catonsville NF,Neg,"Aff								2-1"
New York City Invitational Debate and Speech Tournament,HS,2020-10-15,LD,R6,St Michael Albertville CS,Catonsville NF,Neg,
New York City Invitational Debate and Speech Tournament,HS,2020-10-15,LD,R5,Cooper City NR,Cary Acad NS,Aff,
New York City Invitational Debate and Speech Tournament,HS,2020-10-15,LD,R4,Unionville MP,Byram Hills EW,Aff,
New York City Invitational Debate and Speech Tournament,HS,2020-10-15,LD,R3,Charlotte Latin EL,Carnegie Vanguard SR,Neg,
New York City Invitational Debate and Speech Tournament,HS,2020-10-15,LD,R2,Dulles NJ,Kennedy KR,Neg,
New York City Invitational Debate and Speech Tournament,HS,2020-10-15,LD,R1,Mission San Jose AA,Memorial DX,Neg,
Heart Of America District Tournament,HS,2020-04-09,CX,R4,1092,1214,Neg,"Neg								2-1"
KCKCC DCI TOC Policy Qualifier,HS,2019-11-01,Nov,Semis,Wichita East Kate Halabi & Esther Liu,Blue Valley North Katherine Koplik & Lizzie Place,Neg,"Neg								3-0"
KCKCC DCI TOC Policy Qualifier,HS,2019-11-01,DCI,Octos,Blue Valley West Heer Mehta & Supta Das,Shawnee Mission East Olivia Henry & Ana Lahovary,Aff,"Neg								2-1"
KCKCC DCI TOC Policy Qualifier,HS,2019-11-01,Nov,PArtia,Mill Valley Sarah Johnston & Isaac Steiner,Blue Valley North Rima Chavali & Senara Kularatne,Aff,"Aff								3-0"
KCKCC DCI TOC Policy Qualifier,HS,2019-11-01,DCI,R6,Lawrence Free State Jacob Wilkus & Matthew Brandenburger,Wichita East Wael Yessin & Bao Nguyen,Neg,
KCKCC DCI TOC Policy Qualifier,HS,2019-11-01,Nov,R5,Washburn Rural Gabe Bradbury & Olivia Medrano,Blue Valley North Rima Chavali & Senara Kularatne,Aff,
KCKCC DCI TOC Policy Qualifier,HS,2019-11-01,DCI,R4,Wichita East Aryan Waghmode & Adam Foster,Mill Valley Amanda Reynolds & Zachary Botkin,Aff,
KCKCC DCI TOC Policy Qualifier,HS,2019-11-01,DCI,R3,Wichita East Anjali Singh & Allen Dong,Andover Central Olivia Lara & Aditi Kiragi,Neg,
KCKCC DCI TOC Policy Qualifier,HS,2019-11-01,DCI,R2,Lawrence Free State Abbey Hossler & Rita Joseph,Washburn Rural Petre Dimitriu & Emma Schroeder,Neg,
KCKCC DCI TOC Policy Qualifier,HS,2019-11-01,DCI,R1,Mill Valley Grace Emerson & Taylor Doyle,Lawrence Free State Ethan Harris & Jack Bellemere,Neg,
UMKC SDI 2019,,2019-08-01,2019,R2,Aaram & Quinn,Amina & Henry,Neg,
Aaron Thomas Memorial Invitational at Andover Central,HS,2018-10-05,Vars,Finals,Maize Alexander Broyles & Jason Liang-Lin,Trinity David Koster & Noah Greene,Neg,"Neg								6-1"
Aaron Thomas Memorial Invitational at Andover Central,HS,2018-10-05,Vars,JV FIN,Hutchinson Jenna Ramsey & Adriana Owens,Newton Miguel Molina Chavez & Josue Coy Dick,Neg,"Aff								2-1"
Aaron Thomas Memorial Invitational at Andover Central,HS,2018-10-05,Vars,JV SEM,Hutchinson Jenna Ramsey & Adriana Owens,Sumner Jaleon Brown & Neymara Freeman,Aff,"Aff								2-1"
Aaron Thomas Memorial Invitational at Andover Central,HS,2018-10-05,Vars,R5,Hutchinson Jenna Ramsey & Adriana Owens,Maize Amanda Branom & Jeannine Lopez,Neg,
Aaron Thomas Memorial Invitational at Andover Central,HS,2018-10-05,Vars,R1,Hutchinson Kian Williams & Jacob Unruh,Trinity David Koster & Noah Greene,Neg,
