Tournament,Lv,Date,Ev,Rd,Aff,Neg,Vote,Result
D3 Qualifier,C,2022-02-25,Q,R1,Baylor Ciarra McClinton & Katlin Nguyen,Wichita State Alec Hinecker & Bobby Phillips,Neg,
California Invitational Berkeley Debate,HS,2022-02-19,VLD,Octafi,Little Rock Central MG,Harker RM,Neg,"Neg								3-0"
California Invitational Berkeley Debate,HS,2022-02-19,VLD,Double,Little Rock Central MG,Sequoia AS,Aff,"Aff								2-1"
California Invitational Berkeley Debate,HS,2022-02-19,VLD,Triple,Cardinal Gibbons RS,Bellarmine  AK,Aff,"Aff								3-0"
California Invitational Berkeley Debate,HS,2022-02-19,VLD,Triple,Marlborough AK,Harker RM,Neg,"Neg								3-0"
California Invitational Berkeley Debate,HS,2022-02-19,VLD,R6,Immaculate Heart SS,Marlborough AK,Neg,
California Invitational Berkeley Debate,HS,2022-02-19,VLD,R6,Harker AG,Stanford OHS AY,Aff,
California Invitational Berkeley Debate,HS,2022-02-19,VLD,R5,Harker DV,Proof DR,Neg,
California Invitational Berkeley Debate,HS,2022-02-19,VLD,R4,Denver East LF,Harker SY,Aff,
California Invitational Berkeley Debate,HS,2022-02-19,VLD,R4,Immaculate Heart SP,Marlborough ZG,Neg,
California Invitational Berkeley Debate,HS,2022-02-19,VLD,R3,Fairview AK,Isidore Newman EE,Neg,
California Invitational Berkeley Debate,HS,2022-02-19,VLD,R3,Marlborough HL,Immaculate Heart ES,Aff,
California Invitational Berkeley Debate,HS,2022-02-19,VLD,R2,Mission San Jose SR,Marlborough HH,Aff,
California Invitational Berkeley Debate,HS,2022-02-19,VLD,R2,Marlborough SL,Brentwood MD,Aff,
California Invitational Berkeley Debate,HS,2022-02-19,VLD,R1,Westwood PM,Immaculate Heart RR,Aff,
Palm Classic,HS,2022-02-12,LD-T,Double,Little Rock Central MG,Westwood PM,Neg,"Neg								2-1"
Palm Classic,HS,2022-02-12,LD-T,Triple,Harker GS,Diamond Bar NC,Neg,"Neg								3-0"
Palm Classic,HS,2022-02-12,LD-T,R5,Harker AA,Marlborough ED,Aff,
Palm Classic,HS,2022-02-12,LD-T,R4,Westridge TW,Harker AP,Aff,
Palm Classic,HS,2022-02-12,LD-T,R3,Harker GS,Marlborough SL,Aff,
Palm Classic,HS,2022-02-12,LD-T,R2,Stockdale RP,Marlborough MJ,Neg,
Palm Classic,HS,2022-02-12,LD-T,R1,Strake Jesuit  JW,Stockdale GS,Aff,
Texas Open,C,2022-02-05,OP,Double,George Mason Buckner & Graham,Emory Pak & Rajagopal,Aff,"Aff								3-0"
Texas Open,C,2022-02-05,OP,R6,Wayne State Howard & Reynolds,Northwestern Kim & Liao,Aff,
Texas Open,C,2022-02-05,JV,R3,Liberty Dulas & Posey,Georgia State Liu & StPeter,Aff,
