Tournament,Lv,Date,Ev,Rd,Aff,Neg,Vote,Result
JV Novice Nationals at West Virginia University,C,2022-03-11,JV,Quarte,James Madison BC,Macalester/Oakton Community KT,Aff,"Aff								3-0"
JV Novice Nationals at West Virginia University,C,2022-03-11,Nov,R6,Liberty MN,West Virginia FF,Aff,
JV Novice Nationals at West Virginia University,C,2022-03-11,JV,R5,James Madison BC,Wayne State HK,Aff,
JV Novice Nationals at West Virginia University,C,2022-03-11,Nov,R4,UT San Antonio FT,James Madison HR,Neg,
D3 Qualifier,C,2022-02-25,Q,R5,Baylor Ciarra McClinton & Katlin Nguyen,Missouri State Brenden Lucas & Peyton Reeves,Neg,
Texas Open,C,2022-02-05,OP,Octos,Harvard Aoki & Farronay,Liberty Cazeau & Robinson,Aff,"Neg								2-1"
Texas Open,C,2022-02-05,OP,Double,Missouri State Lucas & Reeves,Michigan Harrington & McGraw,Neg,"Neg								3-0"
Texas Open,C,2022-02-05,OP,R4,Kentucky Di & Griffith,Wake Forest Dua & Luckett,Aff,
Texas Two Step Rowdy Debates In Dallas,C,2022-01-07,OpenO,Qtrs,Kansas Harris & Wilkus,JohCou Babcock & Babcock,Aff,"Aff								2-1"
Texas Two Step Rowdy Debates In Dallas,C,2022-01-07,OpenO,R5,WicSta Chavez & Hummingbird,Kansas Ottinger & Rahaman,Neg,
Texas Two Step Fear and Loathing in Dallas,C,2022-01-04,OpenO,Quarte,Wichita Hinecker & Phillips,Kansas Harris & Wilkus,Neg,"Neg								3-0"
Texas Two Step Fear and Loathing in Dallas,C,2022-01-04,OpenO,R5,Kansas Harris & Wilkus,Wichita Chavez & Hummingbird,Aff,
Texas Two Step Fear and Loathing in Dallas,C,2022-01-04,OpenO,R3,Kansas Basore & Spiers,UTD Beutelspacher & Mubarak,Neg,
John Edie Holiday Debates Hosted by The Blake School,HS,2021-12-17,CX,R7,Walter Payton HP,Peninsula GL,Neg,
John Edie Holiday Debates Hosted by The Blake School,HS,2021-12-17,CX,R6,Rosemount AA,Edina MH,Neg,
John Edie Holiday Debates Hosted by The Blake School,HS,2021-12-17,CX,R5,Eagan AS,Rosemount ST,Aff,
John Edie Holiday Debates Hosted by The Blake School,HS,2021-12-17,CX,R3,Blue Valley Northwest MY,Fox Chapel Area TM,Neg,
John Edie Holiday Debates Hosted by The Blake School,MS,2021-12-17,MSCX,R2,SAHar PS,SAHar OS,Neg,
John Edie Holiday Debates Hosted by The Blake School,HS,2021-12-17,CX,R1,Edina GA,Berkeley Prep LK,Neg,
The Longhorn Classic,HS,2021-12-03,CCX,Octos,Little Rock Central Rhee & Gaddi,Winston Churchill Davis & King,Aff,"Aff								3-0"
The Longhorn Classic,HS,2021-12-03,CCX,R5,Plano East D'Antuono & Penumetcha,Langham Creek Le & Nguyen,Aff,
The Longhorn Classic,HS,2021-12-03,CCX,R4,Jesuit--ONLINE Jin & Chacko,Reagan Rios & Whalen,Neg,
The Longhorn Classic,HS,2021-12-03,CCX,R3,Crossings Christian Chung & Roberts,Lawrence Free State Rupp & Marshall,Neg,
The Longhorn Classic,HS,2021-12-03,CCX,R1,Damien Murphy & Martinez,Crossings Christian Asbury & Cruzan,Aff,
The Longhorn Classic,HS,2021-12-03,NCX,R1,Liberal Arts and Science Bohmer & Low,Isidore Newman Jolly & Carmody,Aff,
ADA Fall Championship,C,2021-11-13,Nov,Double,Liberty IR,West Virginia LC,Aff,"Aff								3-0"
ADA Fall Championship,C,2021-11-13,Nov,R6,Samford JM,Monmouth CL,Aff,
ADA Fall Championship,C,2021-11-13,JV,R4,Missouri State AP,Liberty HM,Aff,
Katy Taylor TFA TOC NIETOC Fall Classic,HS,2021-11-11,VCX,R4,Stephen F Austin JL,Memorial GL,Aff,
Katy Taylor TFA TOC NIETOC Fall Classic,HS,2021-11-11,VCX,R3,Westside SK,Memorial QP,Aff,
Katy Taylor TFA TOC NIETOC Fall Classic,HS,2021-11-11,VCX,R1,Dulles AG,Memorial TZ,Aff,
Harvard College Tournament,C,2021-10-30,Open,Dbls,Kentucky DG ONLINE,Cal State Fullerton CW ONLINE,Aff,"Aff								3-0"
Harvard College Tournament,C,2021-10-30,Open,R2,Kentucky AK ONLINE,Pittsburgh MA ONLINE,Aff,
Harvard College Tournament,C,2021-10-30,Open,R1,Kentucky DG ONLINE,Wake Forest RS ONLINE,Aff,
UMW Debate Tournament,C,2021-10-15,JV,Quarte,Liberty JP,Cal State Fullerton WG,Aff,"Neg								2-1"
UMW Debate Tournament,C,2021-10-15,Nov,R5,Rochester/Emory KX,Samford HJ,Neg,
West Point Debate Tournament,C,2021-10-08,Novice,R4,Binghamton FL,Liberty BT,Neg,
West Point Debate Tournament,C,2021-10-08,Novice,R3,Monmouth NO,Binghamton RS,Neg,
West Point Debate Tournament,C,2021-10-08,Novice,R2,Monmouth RR,Liberty HM,Neg,
West Point Debate Tournament,C,2021-10-08,Novice,R1,United States Military SD,Liberty RI,Neg,
JW Patterson Debates at Kentucky,C,2021-10-02,WILD,R2,Gonzaga DZ,Texas Tech CK,Aff,
Northwestern University Season Opener,C,2021-09-17,Open,RD 6,Johnson County Community BB,Kansas SS,Aff,
Northwestern University Season Opener,C,2021-09-17,JV,R3,Wichita State CH,Trinity DW,Aff,
Grapevine Classic,HS,2021-09-10,VCX,Dbls,Jesuit JM,Westside KS,Aff,"Neg								2-1"
Grapevine Classic,HS,2021-09-10,VCX,R5,Reagan LS,Winston Churchill DK,Neg,
Grapevine Classic,HS,2021-09-10,VCX,R4,Northwood AH,Dulles AG,Neg,
Grapevine Classic,HS,2021-09-10,VCX,R3,Plano East DP,Caddo Magnet HW,Neg,
National Speech and Debate Tournament,HS,2021-06-07,CX,R10,191,210,Aff,"Aff								3-0"
National Speech and Debate Tournament,HS,2021-06-07,CX,R9,168,139,Aff,"Aff								2-1"
National Speech and Debate Tournament,HS,2021-06-07,CX,R8,259,213,Neg,"Neg								2-1"
National Speech and Debate Tournament,HS,2021-06-07,CX,R7,317,221,Aff,"Aff								3-0"
National Speech and Debate Tournament,HS,2021-06-07,CX,R5,268,222,Neg,"Neg								2-0"
CEDA Nationals at West Virginia University,C,2021-04-09,Open,Quarte,Wake Forest BT,Cal State Fullerton BW,Aff,"Neg								4-1"
CEDA Nationals at West Virginia University,C,2021-04-09,Open,Double,Kansas PS,Southwestern GA,Neg,"Neg								3-0"
CEDA Nationals at West Virginia University,C,2021-04-09,Open,R2,Johnson County Community BB,Baylor FH,Aff,
75th National Debate Tournament,C,2021-03-25,Open,R8,Baylor NW,Missouri State KR,Aff,"Aff								3-0"
75th National Debate Tournament,C,2021-03-25,Open,R7,Wichita State BM,Liberty WW,Neg,"Neg								3-0"
75th National Debate Tournament,C,2021-03-25,Open,R6,Indiana OH,Southwestern AG,Neg,"Neg								3-0"
75th National Debate Tournament,C,2021-03-25,Open,R5,Baylor LM,NYU HP,Aff,"Aff								2-1"
75th National Debate Tournament,C,2021-03-25,Open,R4,NYU ST,Kansas MR,Neg,"Neg								3-0"
75th National Debate Tournament,C,2021-03-25,Open,R3,Kentucky DG,Southern California KS,Aff,"Aff								3-0"
75th National Debate Tournament,C,2021-03-25,Open,R2,Wake Forest BD,Cal State Fullerton WB,Neg,"Neg								3-0"
75th National Debate Tournament,C,2021-03-25,Open,R1,Louisville BD,Kansas MS,Neg,"Neg								3-0"
JV Novice Nationals at West Virginia University,C,2021-03-12,Nov,Quarte,Liberty CP,George Mason BP,Neg,"Neg								2-1"
JV Novice Nationals at West Virginia University,C,2021-03-12,Nov,Octos,United States Military MM,Liberty DK,Aff,"Aff								3-0"
JV Novice Nationals at West Virginia University,C,2021-03-12,Nov,R6,Monmouth CP,Cal State Fullerton PR,Aff,
ADA Nationals,C,2021-03-06,Open,Double,Liberty CR,Wichita State BL,Aff,"Aff								2-1"
ADA Nationals,C,2021-03-06,Open,R5,Michigan HM,Kansas MP,Neg,
ADA Nationals,C,2021-03-06,Nov,R2,Wayne State KT,Liberty MS,Neg,
NE Regionals for NovJV aka Gotham,C,2021-02-26,JV,Sems,United States Military HS,Boston College GC,Neg,"Neg								3-0"
NE Regionals for NovJV aka Gotham,C,2021-02-26,JV,R6,Cal State Fullerton LD,Boston College GC,Neg,
NE Regionals for NovJV aka Gotham,C,2021-02-26,JV,R5,New School BL,NYU SZ,Neg,
Monmouth Debate Tournament,C,2021-02-12,Novice,Quarts,UniSta MM,Libert DK,Aff,"Aff								2-1"
Monmouth Debate Tournament,C,2021-02-12,Novice,R6,UniSta MM,JamMad MD,Aff,
Monmouth Debate Tournament,C,2021-02-12,Novice,R5,Libert CP,Trinit BE,Aff,
University of Minnesota College Invitational,C,2021-01-29,Open,R5,Liberty CR,Pittsburgh OM,Neg,
University of Minnesota College Invitational,C,2021-01-29,Open,R2,Indiana OH,Liberty JD,Neg,
University of Minnesota College Invitational,C,2021-01-29,Open,R1,Kansas State TT,Liberty WW,Neg,
Fullerton Georgetown College Tournament,C,2021-01-02,Open,R5,Wake Forest CT,Southern California FY,Aff,
Fullerton Georgetown College Tournament,C,2021-01-02,Open,R4,Cal State Fullerton BW,Kansas MS,Neg,
The Longhorn Classic Online,HS,2020-12-04,CCX,Octafi,Reagan Azad & Gutierrez,Woodward Thakur & Li,Aff,"Aff								3-0"
The Longhorn Classic Online,HS,2020-12-04,CCX,R6,Lake Travis Seth & Grant,Jesuit Martin & Ramos,Neg,
The Longhorn Classic Online,HS,2020-12-04,NCX,Octafi,Hebron Patel & Martin,Jesuit Gibson & Hernandez-Hoffmann,Neg,"Neg								2-1"
The Longhorn Classic Online,HS,2020-12-04,CCX,R5,Shark Hopkins & Lara,Heights Kuffner & Waters,Aff,
The Longhorn Classic Online,HS,2020-12-04,CCX,R3,Dripping Springs Kaiser & Mihaly,Woodward Hightower & Chranya,Neg,
The Longhorn Classic Online,HS,2020-12-04,CCX,R1,Northview Ippagunta & Afre,Casady Huang & Jiang,Aff,
ADA Fall,C,2020-11-13,Nov,R6,Liberty DS,Cal State Fullerton MC,Aff,
ADA Fall,C,2020-11-13,JV,R2,George Mason PL,Emory BW,Aff,
ADA Fall,C,2020-11-13,Nov,R1,Liberty DM,New School KK,Aff,
Memorial Spring Woods Swing,HS,2020-10-28,NLD,Octos,Bob Lanier EM,Houston Memorial IT,Aff,
Memorial Spring Woods Swing,HS,2020-10-28,VCX,R3,Dulles JD,North Kansas City DM,Aff,
Memorial Spring Woods Swing,HS,2020-10-28,VCX,R1,Friendswood GM,Dulles MV,Neg,
Binghamton October Tournament,C,2020-10-16,Novi,N6,Rochester CH,NYU WW,Aff,
Binghamton October Tournament,C,2020-10-16,Open,O5,UniSta HD,Cornell DM,Aff,
Trevian Invitational,HS,2020-10-10,TOCPD,R5,St Ignatius AN,Minneapolis South NR,Aff,
Trevian Invitational,HS,2020-10-10,TOCPD,R4,Damien TD,Glenbrook South AZ,Aff,
Trevian Invitational,HS,2020-10-10,OPEN,R2,Walter Payton HL,Jones HR,Aff,
Trevian Invitational,HS,2020-10-10,OPEN,R1,Barstow WS,Kent Denver TW,Aff,
JW Patterson Debates at Kentucky,C,2020-10-03,Open,R6,Iowa CP,Harvard/UMass GM,Aff,
JW Patterson Debates at Kentucky,C,2020-10-03,Nov,R3,Wayne State KT,Indiana LS,Aff,
3rd Annual Phyllis Schatz Invitational,C,2020-09-25,JV,Quarte,Liberty GJ,George Mason GM,Aff,"Aff								3-0"
3rd Annual Phyllis Schatz Invitational,C,2020-09-25,Novi,QUART,Liberty HJ,George Mason BP,Neg,"Neg								3-0"
3rd Annual Phyllis Schatz Invitational,C,2020-09-25,Novi,N4,Liberty HJ,George Mason KU,Aff,
3rd Annual Phyllis Schatz Invitational,C,2020-09-25,Novi,N2,Liberty DD,Nick Amore,Aff,
Season Opener at Northwestern University,C,2020-09-18,Open,R6,Kansas PO,West Georgia DS,Aff,
Season Opener at Northwestern University,C,2020-09-18,JV,R3,Liberty GJ,Johnson County Community BB,Neg,
Season Opener at Northwestern University,C,2020-09-18,Nov,R1,Liberty SW,George Mason RF,Neg,
Grapevine Classic,HS,2020-09-11,VCX,R5,SF Roosevelt LT,Dripping Springs MK,Aff,
Grapevine Classic,HS,2020-09-11,VCX,R4,Interlake CP,OES SZ,Aff,
Grapevine Classic,HS,2020-09-11,VCX,R3,Hebron DS,Northview AI,Neg,
Grapevine Classic,HS,2020-09-11,VCX,R2,Parker JS,Jesuit RM,Aff,
Grapevine Classic,HS,2020-09-11,VCX,R1,Heritage Hall LR,George Washington HC,Neg,
National Speech and Debate Tournament,HS,2020-06-12,CX,R9,X212,X164,Neg,"Neg								3-0"
National Speech and Debate Tournament,HS,2020-06-12,CX,R8,X278,X103,Aff,"Neg								2-1"
National Speech and Debate Tournament,HS,2020-06-12,CX,R7,X218,X120,Aff,"Neg								2-1"
National Speech and Debate Tournament,HS,2020-06-12,CX,R5,X258,X196,Neg,
National Speech and Debate Tournament,HS,2020-06-12,CX,R4,X191,X261,Aff,"Aff								2-0"
National Speech and Debate Tournament,HS,2020-06-12,CX,R3,X194,X198,Aff,"Aff								2-0"
National Speech and Debate Tournament,HS,2020-06-12,CX,R1,X206,X270,Aff,"Aff								2-0"
ADA Nationals at UNLV,C,2020-03-06,JV,R4,Emory BL,Indiana OG,Neg,
ADA Nationals at UNLV,C,2020-03-06,Open,R3,Kansas SS,Emory CQ,Aff,
ADA Nationals at UNLV,C,2020-03-06,JV,R2,Liberty CC,CSU - Northridge SG,Aff,
The NJDDT at the University of Houston,C,2020-02-29,Pol,Semis,Missouri State CR,Kansas MP,Aff,"Aff								3-0"
The NJDDT at the University of Houston,C,2020-02-29,Pol,Qrts,Kansas MP,Kansas State ST,Aff,"Aff								3-0"
NDT District IIIMAC Championship,C,2020-02-21,MAC,R6,UMKC Bhatti & Prins,UTD Lasseter & Iske,Neg,
NDT District IIIMAC Championship,C,2020-02-21,MAC,R3,UCO Holzwarth & Lott,Texas McKinley & Real,Neg,
Cal Invitational UC Berkeley,HS,2020-02-15,VCX,R5,Midland Dow Independent MR,Heritage Hall HL,Aff,
Cal Invitational UC Berkeley,HS,2020-02-15,VCX,R4,North Broward Prep DF,Sonoma PJ,Aff,
Cal Invitational UC Berkeley,HS,2020-02-15,VCX,R3,Little Rock Central GaLi,Peninsula LO,Aff,
Cal Invitational UC Berkeley,HS,2020-02-15,VCX,R2,Peninsula RY,Canyon Crest WW,Aff,
Cal Invitational UC Berkeley,HS,2020-02-15,VCX,R1,Ferris CM,Interlake FC,Neg,
Texas Open,C,2020-02-01,OP,R7,Liberty CC,Purdue SJ,Aff,
Texas Swing 1 Fear and Loathing in Dallas,C,2020-01-06,OPEN,Octas,Kansas Fitzpatrick & Esquivel-Yglesias,UMKC/K-State Hauschildt & Engle,Aff,"Aff								2-1"
Texas Swing 1 Fear and Loathing in Dallas,C,2020-01-06,OPEN,R6,Texas Watts & Sen,Kansas Scott & McMahon,Aff,
Texas Swing 1 Fear and Loathing in Dallas,C,2020-01-06,OPEN,R2,Kansas Hoffmann & Thomas,Texas Galang & Khan,Aff,
Longhorn Classic at the University of Texas,HS,2019-12-06,CCX,Double,Hebron HL,John H Guyer IM,Aff,"Aff								3-0"
Longhorn Classic at the University of Texas,HS,2019-12-06,CCX,R6,Jesuit  HN,Liberal Arts and Science BC,Aff,
Longhorn Classic at the University of Texas,HS,2019-12-06,CCX,R5,Greenhill WG,Liberal Arts and Science MS,Aff,
Longhorn Classic at the University of Texas,HS,2019-12-06,CCX,R4,Liberal Arts and Science HW,Dripping Springs MG,Neg,
Longhorn Classic at the University of Texas,HS,2019-12-06,CCX,R3,Greenhill LH,Caddo Magnet WW,Aff,
Longhorn Classic at the University of Texas,HS,2019-12-06,CCX,R2,Langham Creek FI,Liberal Arts and Science IJ,Neg,
Longhorn Classic at the University of Texas,HS,2019-12-06,CCX,R1,Crossings Christian HH,Alief Kerr EG,Neg,
Franklin R Shirley at Wake Forest,C,2019-11-23,SHIR,RD 1,Gonzaga MH,Louisville BL,Neg,
UCO Joe C Jackson,C,2019-11-08,Open,Quarte,Kansas MP,MOState DK,Neg,"Neg								3-0"
UCO Joe C Jackson,C,2019-11-08,JV,Semis,Kansas HM,Texas HN,Aff,"Aff								3-0"
UCO Joe C Jackson,C,2019-11-08,Open,Round,Texas CM,Kansas HO,Neg,
UCO Joe C Jackson,C,2019-11-08,Open,Round,UMKC DH,Kansas BS,Aff,
UCO Joe C Jackson,C,2019-11-08,Open,Round,Texas LP,Baylor EG,Neg,
UCO Joe C Jackson,C,2019-11-08,Open,Round,Wyoming BP,MOState LM,Neg,
UCO Joe C Jackson,C,2019-11-08,JV,R1,JCCC CB,Kansas HM,Aff,
Harvard College Tournament,C,2019-11-02,Open,R8,Wichita State LP,UC Berkeley MO,Aff,
Harvard College Tournament,C,2019-11-02,Open,R7,Gonzaga MH,Northwestern JE,Aff,
Harvard College Tournament,C,2019-11-02,Open,R3,Michigan HF,West Virginia BM,Neg,
Shocker Fall Debates,C,2019-10-25,Open,Qtrs,Kansas Snow & Hassett,UCO Colquitt & Huffman,Aff,"Neg								2-1"
Shocker Fall Debates,C,2019-10-25,Open,R6,MOState Cade & Kauffman,Wichita Benson & Hinecker,Aff,
Shocker Fall Debates,C,2019-10-25,Open,R2,K-State Turner & Christensen,MOState Lucas & Morrison,Neg,
Shocker Fall Debates,C,2019-10-25,Open,R1,MOState Evans & Pieper,Kansas Snow & Hassett,Neg,
64th Annual George R R Pflaum Debate Tournament,C,2019-10-11,OPEN,Qtrs,MOState KR,Baylor GW,Neg,"Aff								2-1"
64th Annual George R R Pflaum Debate Tournament,C,2019-10-11,OPEN,R6,UTD IL,Baylor GW,Neg,
64th Annual George R R Pflaum Debate Tournament,C,2019-10-11,OPEN,R2,K-State CT,Kansas SP,Neg,
64th Annual George R R Pflaum Debate Tournament,C,2019-10-11,OPEN,R1,Kansas MR,MOState VW,Neg,
GSU Atlanta Season Opener,C,2019-09-14,OP,R7,Concordia BS,Georgia State CA,Aff,
GSU Atlanta Season Opener,C,2019-09-14,OP,R6,Harvard LZ,Emporia State SV,Aff,
GSU Atlanta Season Opener,C,2019-09-14,OP,R4,Samford WW,Wake Forest AB,Neg,
GSU Atlanta Season Opener,C,2019-09-14,OP,R2,Wake Forest EF,Louisville YB,Aff,
GSU Atlanta Season Opener,C,2019-09-14,NOV,R1,Liberty JM,Emory SG,Aff,
CEDA Nationals Long Beach,C,2019-04-04,Open,R8,CSU Long Beach LB,NewSchool BW,Aff,
CEDA Nationals Long Beach,C,2019-04-04,Open,R7,Emporia State SW,Missouri - Kansas City HD,Aff,
CEDA Nationals Long Beach,C,2019-04-04,Open,R5,Missouri - Kansas City WM,Wisconsin- Madison CD,Aff,
CEDA Nationals Long Beach,C,2019-04-04,Open,R4,Louisville BY,Liberty HT,Aff,
CEDA Nationals Long Beach,C,2019-04-04,Open,R3,UT Dallas WM,Oklahoma HR,Neg,
CEDA Nationals Long Beach,C,2019-04-04,Open,R2,UT Dallas HI,Florida SS,Aff,
CEDA Nationals Long Beach,C,2019-04-04,Open,R1,Southwestern BN,Army CM,Neg,
73rd National Debate Tournament,C,2019-03-21,Open,Round,Weber State BT,Liberty HT,Neg,"Neg								3-0"
73rd National Debate Tournament,C,2019-03-21,Open,Round,Liberty MS,Pittsburgh FK,Neg,"Neg								3-0"
73rd National Debate Tournament,C,2019-03-21,Open,Round,Emporia State SW,Concordia BS,Aff,"Aff								3-0"
73rd National Debate Tournament,C,2019-03-21,Open,Round,Central Oklahoma CM,Kansas State EL,Aff,"Neg								2-1"
73rd National Debate Tournament,C,2019-03-21,Open,Round,Kansas BD,Gonzaga BM,Aff,"Aff								3-0"
73rd National Debate Tournament,C,2019-03-21,Open,Round,Southern California KW,Emporia State MK,Aff,"Aff								3-0"
JV Novice Nationals at West Virginia University,C,2019-03-02,JV,Quarte,Liberty DE,Weber State BT,Neg,"Neg								3-0"
JV Novice Nationals at West Virginia University,C,2019-03-02,JV,Octos,Liberty DE,Rochester AV,Aff,"Aff								3-0"
JV Novice Nationals at West Virginia University,C,2019-03-02,JV,R7,Liberty DE,James Madison BA,Neg,
JV Novice Nationals at West Virginia University,C,2019-03-02,JV,R6,Liberty KS,James Madison HS,Aff,
JV Novice Nationals at West Virginia University,C,2019-03-02,JV,R1,Liberty CM,Weber State SS,Aff,
2019District IIIMAC Championship,C,2019-02-22,MAC,R6,Wichita Brown & Wedel,JMU Bellis & Konrad,Neg,
