Tournament,Lv,Date,Ev,Rd,Aff,Neg,Vote,Result
D2 D4 D5 Qualifier,C,2022-02-26,D4,R3,Minnesota Phoenix-Flood & Rao,Iowa/Grinnell Bennett & Chen,Aff,"Aff								3-0"
FullerTown,C,2022-01-03,Open,Semis,Dartmouth BC,Kentucky DG,Aff,"Neg								2-1"
FullerTown,C,2022-01-03,Open,Octas,Northwestern LW,Michigan MM,Neg,"Neg								3-0"
FullerTown,C,2022-01-03,Open,Double,Minnesota PR,Harvard/Amherst GM,Aff,"Aff								3-0"
FullerTown,C,2022-01-03,Open,R1,Michigan PR,Wyoming LR,Aff,
Spartan Classic at MSU,HS,2021-12-03,O,Quarte,Wylie E. Groves Glick & Laham,Carrollton School of the Sacred Heart Feerick-Hillenbrand & Roo,Neg,"Neg								3-0"
Spartan Classic at MSU,HS,2021-12-03,O,R5,Carrollton School of the Sacred Heart Feerick-Hillenbrand & Roo,Wylie E. Groves Glick & Laham,Aff,
Spartan Classic at MSU,HS,2021-12-03,O,R4,St Mark's School of Texas Tong & Zhang,Carrollton School of the Sacred Heart Perez & Nieto,Neg,
Spartan Classic at MSU,HS,2021-12-03,O,R3,Niles West Pappas & Tara,Glenbrook North Jalaluddin & Jobin,Neg,
Harvard College Tournament,C,2021-10-30,Open,Semifi,Emory GK,Michigan PR,Aff,"Aff								3-0"
Harvard College Tournament,C,2021-10-30,Open,R3,George Mason AL,Northeastern/Pennslyvania RE,Aff,
Heart of Texas Invitational,HS,2021-10-16,VCX,Octafi,Westminster SY,Peninsula LY,Aff,"Aff								3-0"
JW Patterson Debates at Kentucky,C,2021-10-02,Open,R5,Liberty SW,Georgetown AG,Neg,
SDI 4 Week Tournament 2021,,2021-07-21,CX,Semis,MRSS Lab Flynn Gray & Win Neubarth,MRSS Lab Liam Seaward & Wyeth Renwick,Neg,"Neg								3-0"
SDI 4 Week Tournament 2021,,2021-07-21,CX,R4,BBHW Lab Elizabeth Li & Prevail De Rox,BBHW Lab Maggie Stearns & Rohan Gupta,Aff,
SDI 4 Week Tournament 2021,,2021-07-21,CX,R2,BBHW Lab Paarth Bamb & Lucy Loehr,BBHW Lab Ria Thakur & Stella Tsogtjargal & Rohan Mishra,Neg,
SDI 4 Week Tournament 2021,,2021-07-21,CX,R1,BBHW Lab Mace Hood & Jay Yoon,BBHW Lab Sahithi Martha & Sophie Sun,Aff,
75th National Debate Tournament,C,2021-03-25,Open,Double,Dartmouth MS,Minnesota FR,Aff,"Neg								3-2"
Justin Wilson Debates Pace RR,HS,2021-01-27,CX,R5,New Trier,Montgomery Bell,Aff,
Justin Wilson Debates Pace RR,HS,2021-01-27,CX,R1,Glenbrook North,Westminster,Neg,"Neg								2-0"
Wyoming College Tournament,C,2020-12-04,JV,R5,Weber State BT,Monmouth DS,Aff,
Wyoming College Tournament,C,2020-12-04,Open,R4,Minnesota/Columbia JD,UT Dallas LM,Aff,
Wyoming College Tournament,C,2020-12-04,Nov,R3,James Madison DB,Monmouth JH,Aff,
Franklin R Shirley at Wake Forest,C,2020-11-13,SHIR,FYQuar,UC Berkeley Fleming & Quigley,Emory Reisman & Haus,Aff,"Aff								2-1"
Franklin R Shirley at Wake Forest,C,2020-11-13,SHIR,Double,Michigan margolin & Muse,Kansas Revare & Martin,Aff,"Aff								3-2"
Franklin R Shirley at Wake Forest,C,2020-11-13,SHIR,RD 1,Missouri State Lucas & Parrish,Minnesota Ferguson & Rao,Neg,
Harvard College Round Robin,C,2020-10-16,HRR,R8,Kentucky EG,Northwestern LF,Neg,"Neg								3-0"
Harvard College Round Robin,C,2020-10-16,HRR,R3,Wake Forest MK,Emory KG,Aff,"Neg								2-1"
Trevian Invitational,HS,2020-10-10,OPEN,Quarte,Woodward MJ,Westminster JS,Aff,"Neg								2-1"
Trevian Invitational,HS,2020-10-10,TOCPD,Octos,Blue Valley North FV,Woodward GR,Aff,"Aff								2-1"
JW Patterson Debates at Kentucky,C,2020-10-03,Open,R6,Wichita State BM,Emory BR,Neg,
JW Patterson Debates at Kentucky,C,2020-10-03,Open,R2,Cal State Fullerton BW,UC Berkeley FQ,Neg,
Season Opener at Northwestern University,C,2020-09-18,Open,Double,Emory PR,Kansas MR,Neg,"Neg								3-0"
Season Opener at Northwestern University,C,2020-09-18,JV,Octo,Minnesota AS,Liberty SW,Neg,"Neg								2-1"
Season Opener at Northwestern University,C,2020-09-18,JV,R4,Wyoming KM,Minnesota AS,Aff,
SDI 4 Week Tournament,,2020-07-22,CX,Semis,Scholars Lab Cai & Ganesh,Scholars Lab Cheek & Reddy,Aff,"Aff								3-0"
SDI 4 Week Tournament,,2020-07-22,CX,R5,Scholars Lab Liverseed & Nozal,Scholars Lab Chranya & Chen,Aff,
SDI 4 Week Tournament,,2020-07-22,CX,R4,Scholars Lab Li & Ramos,Scholars Lab Thakur & Burns,Neg,
SDI 4 Week Tournament,,2020-07-22,CX,R2,Scholars Lab Church & Waghmode,Scholars Lab Ghanate,Aff,
SDI 4 Week Tournament,,2020-07-22,CX,R1,Scholars Lab Cheek & Reddy,Scholars Lab Cai & Ganesh,Neg,
Tournament of Champions,HS,2020-04-17,CX,R1,Edgemont Junior-Senior SS,Archbishop Mitty AP,Aff,
Texas Open,C,2020-02-01,OP,R6,Kansas SM,Trinity MR,Aff,
Texas Open,C,2020-02-01,OP,R5,Minnesota KS,Georgetown AG,Neg,
Hoosier Invitational HIT,C,2020-01-11,Cutt,OR 1,Michigan Smith & Vance,UC Berkeley Eusterman & Eusterman,Neg,"Aff								2-1"
Hoosier Invitational HIT,C,2020-01-11,Cutt,R7,Kentucky Jamal & Sanchez,Indiana Bagan & Lincourt,Aff,
Hoosier Invitational HIT,C,2020-01-11,Cutt,R5,Michigan Wang & McGraw,UC Berkeley Bellavita & Wimsatt,Neg,
Hoosier Invitational HIT,C,2020-01-11,Cutt,R4,Samfor Emerson & Gregory,Kentucky Eckert & Hackman,Neg,
Hoosier Invitational HIT,C,2020-01-11,Cutt,R2,Missouri State Kauffman & Van Dyke,Michigan Pinheiro & Skoulikaris,Neg,
Hoosier Invitational HIT,C,2020-01-11,Cutt,R1,Missouri State Lucas & Dickerson,Michigan Smith & Vance,Neg,
Spartan Classic at MSU,HS,2019-12-06,O,Quarte,Glenbrook South Zhukovsky & Rolfes,Wylie E. Groves Gruich & Rajagopalan,Neg,"Neg								3-0"
Spartan Classic at MSU,HS,2019-12-06,Nov,R4,Grand Rapids City Chen & Agarwal & Chhabra,Glenbrook North Feng & Mitchell,Aff,
Spartan Classic at MSU,HS,2019-12-06,O,R2,Detroit Country Day Lau & Reddy,Glenbrook South Zhukovsky & Rolfes,Neg,
Spartan Classic at MSU,HS,2019-12-06,O,R1,Glenbrook North Kaminsky & Stern,Wylie E. Groves Glick & Lee,Neg,
Franklin R Shirley at Wake Forest,C,2019-11-23,SHIR,DBLS,Harvard ZA,UC Berkeley GF,Neg,"Neg								5-0"
Franklin R Shirley at Wake Forest,C,2019-11-23,SHIR,RD 3,Georgetown AG,Missouri State EH,Aff,
Franklin R Shirley at Wake Forest,C,2019-11-23,SHIR,RD 2,George Mason BM,UC Berkeley GF,Neg,
Franklin R Shirley at Wake Forest,C,2019-11-23,SHIR,RD 1,Kansas PS,Michigan SV,Neg,
Wayne State Ziegelmueller Invitational,C,2019-10-25,Open,Quarte,Iowa BR,Kansas SM,Neg,"Neg								3-0"
Wayne State Ziegelmueller Invitational,C,2019-10-25,Open,Octas,Iowa BR,Wayne State HB,Aff,"Aff								2-1"
Wayne State Ziegelmueller Invitational,C,2019-10-25,Open,R5,Wayne State HB,Iowa BR,Neg,
Wayne State Ziegelmueller Invitational,C,2019-10-25,Open,R2,Minnesota KS,UNLV RR,Neg,
Wayne State Ziegelmueller Invitational,C,2019-10-25,Open,R1,Emory NR,Miami HL,Neg,
JW Patterson Debates at Kentucky,C,2019-09-28,Open,Double,Trinity DK,Kansas SP,Neg,"Neg								3-0"
JW Patterson Debates at Kentucky,C,2019-09-28,Open,R6,Northwestern GU,Samford EG,Aff,
