Tournament,Lv,Date,Ev,Rd,Aff,Neg,Vote,Result
JW Patterson Debates at Kentucky,C,2019-09-28,Open,R3,Wake Forest KM,Trinity DK,Neg,
GSU Atlanta Season Opener,C,2019-09-14,JV,Semi,UT Dallas IL,Liberty WW,Neg,"Neg								2-1"
GSU Atlanta Season Opener,C,2019-09-14,NOV,R6,James Madison DL,Missouri State CS,Aff,
GSU Atlanta Season Opener,C,2019-09-14,OP,R4,Trinity DL,Wyoming LT,Neg,
73rd National Debate Tournament,C,2019-03-21,Open,Double,Indiana AD,UC Berkeley FG,Neg,"Neg								5-0"
73rd National Debate Tournament,C,2019-03-21,Open,Round,Trinity GG,Kansas HM,Neg,"Neg								3-0"
73rd National Debate Tournament,C,2019-03-21,Open,Round,Georgia AR,UNLV HS,Aff,"Aff								3-0"
73rd National Debate Tournament,C,2019-03-21,Open,Round,Kentucky HR,Emory CM,Neg,"Neg								2-1"
73rd National Debate Tournament,C,2019-03-21,Open,Round,Trinity DL,UC Berkeley FG,Neg,"Neg								3-0"
73rd National Debate Tournament,C,2019-03-21,Open,Round,Minnesota KW,Missouri State DE,Aff,"Neg								2-1"
55th Owen L Coon Memorial at Northwestern,C,2019-02-02,Open,DBLS,UC Berkeley FG,Emory BY,Aff,"Aff								3-2"
55th Owen L Coon Memorial at Northwestern,C,2019-02-02,Open,RD 1,UC Berkeley EE,Michigan PP,Aff,
Hoosier Invitational Tournament 2019,C,2019-01-12,Cutt,R7,Minnes Ferguson & Granstrom,Michig Jacobs & Roche,Neg,
Hoosier Invitational Tournament 2019,C,2019-01-12,Cutt,R5,Kentuc Hackman & Rivas,MisSta Van Dyke & Waggoner,Aff,
Franklin R Shirley Classic at Wake Forest,C,2018-11-17,SHIR,OCTS,Emory GS,UNLV HS,Neg,"Neg								3-2"
Franklin R Shirley Classic at Wake Forest,C,2018-11-17,SHIR,DBLS,Trinity DK,Emory GS,Neg,"Neg								5-0"
Franklin R Shirley Classic at Wake Forest,C,2018-11-17,SHIR,RD 6,Trinity GG,Wake Forest MT,Aff,
Franklin R Shirley Classic at Wake Forest,C,2018-11-17,SHIR,RD 5,Missouri State AS,Mary Washington/Minnesota HK,Aff,
Franklin R Shirley Classic at Wake Forest,C,2018-11-17,SHIR,RD 2,Kansas BT,Miami HL,Aff,
Franklin R Shirley Classic at Wake Forest,C,2018-11-17,SHIR,RD 1,UNLV HS,Michigan SV,Aff,
Wayne State Ziegelmueller Invitational,C,2018-10-20,Open,R7,Kansas SV,Indiana LL,Aff,
Wayne State Ziegelmueller Invitational,C,2018-10-20,Open,R5,Kansas HO,Michigan SS,Aff,
JW Patterson Debates at Kentucky,C,2018-09-29,Open,R7,UT Dallas SW,Wichita State HP,Neg,
JW Patterson Debates at Kentucky,C,2018-09-29,JV,Nov Fi,NV Navy MM,NV Michigan/Indiana ZV,Aff,"Aff								3-0"
JW Patterson Debates at Kentucky,C,2018-09-29,Open,R5,Missouri State KR,Georgia HH,Neg,
JW Patterson Debates at Kentucky,C,2018-09-29,Open,R2,UC Berkeley FG,Michigan MW,Aff,
GSU National Opener,C,2018-09-15,OPEN,Octos,Georgia SR,Michigan GW,Neg,"Aff								2-1"
GSU National Opener,C,2018-09-15,OPEN,Double,Harvard CM,Emory CM,Aff,"Aff								3-0"
GSU National Opener,C,2018-09-15,OPEN,R8,Dartmouth SaKr,Emory KW,Neg,
GSU National Opener,C,2018-09-15,OPEN,R4,Georgia MW,Michigan SZ,Aff,
GSU National Opener,C,2018-09-15,OPEN,R2,Missouri State KR,Georgetown GW,Aff,
GSU National Opener,C,2018-09-15,OPEN,R1,Wayne State HC,Cornell CD,Aff,
72nd National Debate Tournament at Wichita State,C,2018-03-22,Open,Semis,Michigan GW,Georgetown BK,Neg,"Neg								5-0"
72nd National Debate Tournament at Wichita State,C,2018-03-22,Open,Double,Georgetown BK,Harvard GS,Aff,"Aff								5-0"
72nd National Debate Tournament at Wichita State,C,2018-03-22,Open,Round,Minnesota KW,Kansas FM,Neg,"Neg								3-0"
72nd National Debate Tournament at Wichita State,C,2018-03-22,Open,Round,Georgetown BK,Emory SY,Aff,"Aff								3-0"
72nd National Debate Tournament at Wichita State,C,2018-03-22,Open,Round,Wayne State AD,Harvard GS,Neg,"Neg								3-0"
72nd National Debate Tournament at Wichita State,C,2018-03-22,Open,Round,George Mason HO,Georgia HH,Neg,"Neg								3-0"
ADA Nationals at UT Dallas,C,2018-03-10,JV,Semi,George Mason AR,Liberty GK,Neg,"Neg								3-0"
ADA Nationals at UT Dallas,C,2018-03-10,JV,Quarte,Boston College DW,George Mason BM,Aff,"Aff								2-1"
ADA Nationals at UT Dallas,C,2018-03-10,JV,R6,Liberty BM,George Mason LT,Aff,
ADA Nationals at UT Dallas,C,2018-03-10,JV,R5,George Mason AR,Boston College DW,Aff,
ADA Nationals at UT Dallas,C,2018-03-10,Nov,R1,George Mason AH,Liberty MR,Aff,
District V Quals,C,2018-02-24,D5qual,R6,Michigan Jonah Jacobs & Allison Pujol,,Aff,"Aff								3-0"
Texas Open,C,2018-02-03,TXO,R6,Trinity DK,Michigan ZS,Aff,
Texas Open,C,2018-02-03,TXO,R4,Wayne State CH,Harvard RS,Neg,
Hoosier Invitational Tournament,C,2018-01-20,Cutt,Quarte,WakFor geraghty & Klein,WaySta Anton & Davis,Neg,"Neg								2-1"
Hoosier Invitational Tournament,C,2018-01-20,Cutt,Octos,Michig Zhu & Smith,WaySta Anton & Davis,Aff,"Neg								2-1"
Hoosier Invitational Tournament,C,2018-01-20,Cutt,R7,Cornel Chang & Tan,Kentuc Kendrick & Martinez,Aff,
Hoosier Invitational Tournament,C,2018-01-20,Cutt,R5,Michig Walrath & Goldschlag,WakFor geraghty & Klein,Aff,
Hoosier Invitational Tournament,C,2018-01-20,Cutt,R4,Cornel Mensah & Song,Kentuc Hackman & Rivas,Neg,
Spartan Classic at MSU,HS,2017-12-01,O,Quarte,Niles West Alegria & Sejdiu,Detroit Country Day Gilmer-Hill & Xu,Aff,"Aff								3-0"
Spartan Classic at MSU,HS,2017-12-01,O,R4,Niles West Alegria & Sejdiu,Detroit Country Day Reddy & Nimmagadda,Aff,
Spartan Classic at MSU,HS,2017-12-01,O,R3,Niles West Patel & Afaque,H.H. Dow Martinez & Wang,Aff,
Spartan Classic at MSU,HS,2017-12-01,O,R1,Niles West Naikitende & Yousuf,Okemos Li & Mujtaba,Aff,
Franklin R Shirley Classic at Wake Forest University,C,2017-11-11,SHIR,OCTS,Georgia RS,Harvard MS,Neg,"Neg								4-1"
Franklin R Shirley Classic at Wake Forest University,C,2017-11-11,SHIR,DBLS,Trinity DK,Kentucky AN,Neg,"Neg								5-0"
Franklin R Shirley Classic at Wake Forest University,C,2017-11-11,SHIR,RD 8,Georgetown BK,Wake Forest GT,Aff,
Franklin R Shirley Classic at Wake Forest University,C,2017-11-11,SHIR,RD 3,Georgetown AL,Emory BS,Aff,
Franklin R Shirley Classic at Wake Forest University,C,2017-11-11,SHIR,RD 2,Emory RW,UC Berkeley FG,Neg,
Franklin R Shirley Classic at Wake Forest University,C,2017-11-11,SHIR,RD 1,Georgia AR,Michigan UV,Aff,
Wayne State George W Ziegelmueller Invitational,C,2017-10-21,Open,R7,Michigan ZS,Kentucky HR,Neg,
Wayne State George W Ziegelmueller Invitational,C,2017-10-21,Open,R4,Michigan WM,Kentucky SP,Aff,
JW Patterson Debates at Kentucky,C,2017-09-27,Open,Double,Georgia AR,Wake Forest MR,Aff,"Aff								3-0"
JW Patterson Debates at Kentucky,C,2017-09-27,Open,R8,George Mason HO,Pittsburgh BR,Neg,
JW Patterson Debates at Kentucky,C,2017-09-27,Open,R6,Trinity CP,Kentucky LK,Aff,
JW Patterson Debates at Kentucky,C,2017-09-27,Open,R4,Emory AW,Kansas FM,Neg,
JW Patterson Debates at Kentucky,C,2017-09-27,Open,R2,Wake Forest MR,Emory MM,Neg,
Georgia State,C,2017-09-17,OPEN,Octos,Emory FG,Nevada Las Vegas HG,Neg,"Neg								2-1"
Georgia State,C,2017-09-17,OPEN,Double,Michigan WG,Wake Forest GT,Aff,"Aff								3-0"
Georgia State,C,2017-09-17,OPEN,R7,Michigan SR,Harvard BC,Aff,
Georgia State,C,2017-09-17,OPEN,R3,George Mason CW,Georgetown BP,Neg,
SDI 4 Week Tournament,,2017-08-01,CX,Finals,BGMOS Lab Pearson & Srinivasan,BGMOS Lab Mahadevan & Robinson,Aff,"Aff								5-0"
SDI 4 Week Tournament,,2017-08-01,CX,Semis,BGMOS Lab Mahadevan & Robinson,BGMOS Lab Hughes & Cho,Aff,"Aff								3-0"
SDI 4 Week Tournament,,2017-08-01,CX,R6,Hybrid Kurupassery & Laibinis,BGMOS Lab Chen & DeMunbrun,Aff,
SDI 4 Week Tournament,,2017-08-01,CX,R5,GMMS Lab Dileep & Calegari,BGMOS Lab Agrawal & Lynch,Neg,
SDI 4 Week Tournament,,2017-08-01,CX,R4,BGMOS Lab Hughes & Cho,BHT Lab Zhang & Chen,Aff,
SDI 4 Week Tournament,,2017-08-01,CX,R3,BHT Lab Nanji & Butch,PSW Lab Tasneem & Sayed,Aff,
SDI 4 Week Tournament,,2017-08-01,CX,R2,BGMOS Lab Sears & Goldberg,BGMOS Lab Charnes & Aralis,Aff,
SDI 4 Week Tournament,,2017-08-01,CX,R1,BHT Lab Bagdon & McGraw,BGMOS Lab Diamandis & Stone,Aff,
71st National Debate Tournament at Kansas,C,2017-03-23,Open,Semis,Georgetown KL,"California, Berkeley WG",Aff,"Aff								7-0"
71st National Debate Tournament at Kansas,C,2017-03-23,Open,Quarte,Georgetown KL,Harvard MS,Aff,"Aff								4-1"
71st National Debate Tournament at Kansas,C,2017-03-23,Open,Double,Michigan DM,Nevada Las Vegas GH,Aff,"Aff								4-1"
71st National Debate Tournament at Kansas,C,2017-03-23,Open,Round,UT Dallas BJ,Georgetown LK,Aff,"Aff								2-1"
71st National Debate Tournament at Kansas,C,2017-03-23,Open,Round,Kentucky BT,Trinity DK,Aff,"Aff								3-0"
71st National Debate Tournament at Kansas,C,2017-03-23,Open,Round,Baylor SW,Kentucky AN,Neg,"Neg								3-0"
71st National Debate Tournament at Kansas,C,2017-03-23,Open,Round,"California, Berkeley WG",Wake Forest MM,Aff,"Aff								3-0"
ADA Nationals George Mason University,C,2017-03-11,Nov,R5,George Mason GR,Liberty BG,Neg,
ADA Nationals George Mason University,C,2017-03-11,Open,R3,Wake Forest GT,Emory KL,Neg,
ADA Nationals George Mason University,C,2017-03-11,Nov,R1,Mary Washington KW,George Mason BT,Neg,
Owen L Coon Memorial Debates at Northwestern,C,2017-02-04,Open,OCTAS,"California, Berkeley WG",Harvard MS,Neg,"Neg								5-0"
Owen L Coon Memorial Debates at Northwestern,C,2017-02-04,Open,DBLS,Harvard MS,Wake Forest GT,Aff,"Aff								4-1"
Owen L Coon Memorial Debates at Northwestern,C,2017-02-04,Open,RD 4,George Mason HM,Wake Forest GT,Neg,
Owen L Coon Memorial Debates at Northwestern,C,2017-02-04,Open,RD 1,Harvard MC,Minnesota DJ,Aff,
USC Alan Nichols Tournament,C,2017-01-03,Var,R6,Kansas HW,Georgetown MS,Aff,
Franklin R Shirley Classic at Wake Forest,C,2016-11-19,SHIR,DBLS,Northwestern CE,Georgia AR,Aff,"Aff								4-1"
Franklin R Shirley Classic at Wake Forest,C,2016-11-19,SHIR,RD 3,UC Berkeley WG,Georgetown MS,Aff,
Franklin R Shirley Classic at Wake Forest,C,2016-11-19,SHIR,RD 2,Georgetown KL,George Mason KO,Aff,
The Jesuit  Gonzaga University,C,2016-10-29,Open,OCTOS,UC Berkeley WG,Kentucky TB,Aff,"Aff								3-0"
The Jesuit  Gonzaga University,C,2016-10-29,Open,DOUBLE,Kansas BB,Harvard MS,Neg,"Neg								3-0"
The Jesuit  Gonzaga University,C,2016-10-29,Open,RD 2,Nevada Las Vegas GH,UC Berkeley WG,Neg,
The Jesuit  Gonzaga University,C,2016-10-29,Open,RD 1,Nevada Las Vegas BO,Georgetown KL,Neg,
Wayne State George Ziegelmueller Ziggy Invitational,C,2016-10-22,Nov,R5,Indiana KT,Michigan ZP,Neg,
Wayne State George Ziegelmueller Ziggy Invitational,C,2016-10-22,Open,R4,Wayne State MJ,Michigan UZ,Neg,
Wayne State George Ziegelmueller Ziggy Invitational,C,2016-10-22,Open,R3,Michigan SP,Wayne State AC,Aff,
JW Patterson Debates at Kentucky,C,2016-09-28,Open,Oct,Georgetown LK,Wake Forest MM,Aff,"Aff								3-0"
JW Patterson Debates at Kentucky,C,2016-09-28,Open,Double,Michigan MD,Georgia AR,Aff,"Aff								3-0"
JW Patterson Debates at Kentucky,C,2016-09-28,Open,R6,Michigan SP,George Mason CH,Aff,
JW Patterson Debates at Kentucky,C,2016-09-28,Open,R4,Kentucky BT,Georgia State FN,Aff,
JW Patterson Debates at Kentucky,C,2016-09-28,Open,R3,Gonzaga JS,Wayne State DH,Aff,
JW Patterson Debates at Kentucky,C,2016-09-28,Open,R2,Trinity SY,UC Berkeley GW,Neg,
JW Patterson Debates at Kentucky,C,2016-09-28,Open,R1,Northwestern CE,Baylor SW,Aff,
SDI 4 Week Tournament,,2016-08-02,PD,Final,BGMP Tambe & Wang,BGMP Wilson & Scullion,Aff,"Neg								2-1"
SDI 4 Week Tournament,,2016-08-02,PD,Quarte,BGMP Wilson & Scullion,BGMP Jones & Viera,Neg,"Aff								2-1"
SDI 4 Week Tournament,,2016-08-02,PD,R6,BGMP Srinivasan & Abdullah,BGMP Vlessing & LeBarrilec,Aff,
SDI 4 Week Tournament,,2016-08-02,PD,R4,BGMP Jones & Viera,BBHT Couture & Rubenstein,Aff,
SDI 4 Week Tournament,,2016-08-02,PD,R3,BGMP Kong & Jalan,ORS Pickert & Chen,Aff,
SDI 4 Week Tournament,,2016-08-02,PD,R2,BBHT Morales & Park,BGMP Tambe & Wang,Neg,
SDI 4 Week Tournament,,2016-08-02,PD,R1,BGMP Adair & Schloss,BBHT Wang & Kim,Aff,
70th National Debate Tournament at Binghamton,C,2016-03-31,Open,Double,Georgetown KL,Georgia AR,Aff,"Aff								4-1"
70th National Debate Tournament at Binghamton,C,2016-03-31,Open,Round,George Mason KK,Emory KL,Aff,"Aff								2-1"
70th National Debate Tournament at Binghamton,C,2016-03-31,Open,Round,Liberty CS,Northwestern MO,Neg,"Neg								3-0"
70th National Debate Tournament at Binghamton,C,2016-03-31,Open,Round,Trinity RS,Nevada Las Vegas CH,Aff,"Aff								3-0"
70th National Debate Tournament at Binghamton,C,2016-03-31,Open,Round,Kentucky GN,Georgetown KK,Aff,"Aff								3-0"
Texas Open,C,2016-02-06,TXO,Octos,Georgetown KL,UC Berkeley SW,Aff,"Aff								2-1"
Texas Open,C,2016-02-06,TXO,Double,UC Berkeley SW,Southern California SS,Aff,"Aff								5-0"
Texas Open,C,2016-02-06,TXO,R6,Harvard HS,Liberty CS,Aff,
Texas Open,C,2016-02-06,TXO,R3,Stanford PT,Emory FR,Aff,
Dartmouth Round Robin,C,2016-01-23,DRR,6,Georgetown KL,Wake Forest SA,Aff,
Dartmouth Round Robin,C,2016-01-23,DRR,5,Emory KS,UC Berkeley SM,Aff,
Dartmouth Round Robin,C,2016-01-23,DRR,1,Harvard SH,Kentucky GN,Aff,
Cal Swing 2,C,2016-01-07,Open,Finals,Emory KS,Harvard HS,Neg,"Neg								3-0"
Cal Swing 2,C,2016-01-07,Open,Double,Southern California SS,UT Dallas OL,Aff,"Aff								2-1"
Cal Swing 2,C,2016-01-07,Open,R4,Liberty CS,Nevada Las Vegas CH,Aff,
Cal Swing 1,C,2016-01-03,Open,Octo,UC Berkeley SW,George Mason KK,Aff,"Aff								2-1"
Cal Swing 1,C,2016-01-03,Open,Double,UT Dallas OL,Georgetown KL,Neg,"Neg								3-0"
Cal Swing 1,C,2016-01-03,Open,R4,UT Dallas OL,Georgetown EK,Aff,
Franklin R Shirley Classic at Wake Forest University,C,2015-11-13,Open,SEMS,Northwestern MO,Harvard HS,Aff,"Aff								3-2"
Franklin R Shirley Classic at Wake Forest University,C,2015-11-13,Open,QTRS,Harvard HS,Emory KL,Aff,"Aff								5-0"
Franklin R Shirley Classic at Wake Forest University,C,2015-11-13,Open,OCTA,Kentucky GN,Kansas BC,Aff,"Aff								5-0"
Franklin R Shirley Classic at Wake Forest University,C,2015-11-13,Open,DBLS,Michigan MD,Kentucky GN,Neg,"Neg								5-0"
Franklin R Shirley Classic at Wake Forest University,C,2015-11-13,Open,RD 2,Mary Washington LS,Kansas CB,Neg,
Franklin R Shirley Classic at Wake Forest University,C,2015-11-13,Open,RD 1,Georgia SW,Trinity RS,Neg,
Harvard,C,2015-10-30,Open,R7,Kansas FK,Emory KL,Neg,
JW Patterson Debates at Kentucky,C,2015-09-30,Open,Oct,Kentucky RH,Emory KS,Neg,"Neg								3-0"
JW Patterson Debates at Kentucky,C,2015-09-30,Open,Double,Kansas BiCo,Kentucky GV,Neg,"Neg								3-0"
JW Patterson Debates at Kentucky,C,2015-09-30,RR,R8,Kansas RB,Emory LK,Neg,
JW Patterson Debates at Kentucky,C,2015-09-30,Open,R6,Georgetown KK,Kansas KR,Aff,
JW Patterson Debates at Kentucky,C,2015-09-30,Open,R3,Harvard HS,Emory MD,Aff,
JW Patterson Debates at Kentucky,C,2015-09-30,RR,R3,Georgetown KL,UT Dallas LO,Aff,
JW Patterson Debates at Kentucky,C,2015-09-30,RR,R2,Michigan KM,Kentucky GN,Neg,
JW Patterson Debates at Kentucky,C,2015-09-30,RR,R1,Harvard SH,Trinity SR,Aff,
GSU National College Debate Tournament,C,2015-09-19,OPEN,Octos,Georgetown KL,Kansas Co,Aff,"Aff								4-1"
GSU National College Debate Tournament,C,2015-09-19,OPEN,Double,UT Dallas OL,Wake Forest MS,Aff,"Neg								4-1"
GSU National College Debate Tournament,C,2015-09-19,OPEN,R7,Michigan GS,Wake Forest ET,Aff,
GSU National College Debate Tournament,C,2015-09-19,OPEN,R2,Kansas KR,Michigan DM,Neg,
SDI 4 Week Tournament,,2015-07-28,CX,R4,BEPST Alla & Callahan,BEPST Chaturvedi & Robinson,Aff,
SDI 4 Week Tournament,,2015-07-28,CX,R3,BHL Min & Pandey,BEPST Bannister & Dill,Neg,
SDI 4 Week Tournament,,2015-07-28,CX,R2,BHL Abdullah & Srinivasan,GMSS Sama & Vlessing,Aff,
SDI 4 Week Tournament,,2015-07-28,CX,R1,HRS Kruger & Lin,BEPST Tambe & Wang,Neg,
SDI 4 Week Mini Tournament,,2015-07-18,CX,Round,BEPST Wang & Tambe,BEPST Carithers & Zhu,Aff,
SDI 4 Week Mini Tournament,,2015-07-18,CX,Round,BHL Abdullah & McGraw,Hybrid Srinivasan & Wang,Neg,
SDI 4 Week Mini Tournament,,2015-07-18,CX,Round,Hybrid Powell & Walker,HRS Spizarny & Haskins,Neg,
69th National Debate Tournament in Iowa,C,2015-04-03,Open,Finals,Northwestern MV,Michigan AP,Aff,"Aff								3-2"
69th National Debate Tournament in Iowa,C,2015-04-03,Open,R5,UT Dallas OL,Trinity SR,Neg,"Neg								2-1"
69th National Debate Tournament in Iowa,C,2015-04-03,Open,R4,Kansas FG,George Mason DK,Aff,"Aff								3-0"
69th National Debate Tournament in Iowa,C,2015-04-03,Open,R2,Minnesota CE,Liberty CS,Aff,"Aff								3-0"
69th National Debate Tournament in Iowa,C,2015-04-03,Open,R1,George Mason KL,Emory KL,Aff,"Aff								2-1"
Texas Open,C,2015-02-07,TXO,R6,Georgetown Louvis & McCoy,Michigan Allen & Pappas,Aff,
Texas Open,C,2015-02-07,TXO,R5,Emory Bontha & Dean,Nevada Las Vegas Bhatti & Jallits,Aff,
