Tournament,Lv,Date,Ev,Rd,Aff,Neg,Vote,Result
ADA Nationals,C,2022-03-05,Open,Semi,Michigan PS,Liberty CR,Neg,"Neg								2-1"
ADA Nationals,C,2022-03-05,Nov,Semi,Houston FA,Boston College MW,Neg,"Neg								2-1"
ADA Nationals,C,2022-03-05,Open,Double,Minnesota PR,Iowa PS,Aff,"Aff								3-0"
ADA Nationals,C,2022-03-05,JV,R6,Miami AG,Missouri State AA,Neg,
ADA Nationals,C,2022-03-05,Nov,R4,Indiana WF,Miami CR,Aff,
ADA Nationals,C,2022-03-05,Open,R3,Minnesota AF,Columbia/WashU DA,Neg,
Texas Open,C,2022-02-05,OP,Double,Wake Forest Bathily & Trotman,UC Berkeley Eusterman & Eusterman,Neg,"Aff								2-1"
Texas Open,C,2022-02-05,OP,R5,Iowa/Grinnell Bennett & Chen,Wyoming Lassen & Radcliffe,Aff,
Texas Open,C,2022-02-05,OP,R3,Wake Forest Smith & Taylor,Michigan Flashner & Mikelson,Aff,
Texas Open,C,2022-02-05,OP,R2,Wake Forest Bathily & Trotman,Dartmouth Gonzalez & Gutierrez,Aff,
Harvard College Tournament,C,2021-10-30,Open,Dbls,Gonzaga MR ONLINE,Southern California KS,Neg,"Neg								3-0"
Harvard College Tournament,C,2021-10-30,Open,R6,Texas DK,Michigan MM,Neg,
Harvard College Tournament,C,2021-10-30,Open,R5,Missouri State CL,Minnesota AP,Aff,
Harvard College Tournament,C,2021-10-30,JV,R4,Iowa KP,Minnesota DR,Neg,
Season Opener at Northwestern University,C,2020-09-18,Open,R2,Samford GT,Southern California KS,Neg,
Season Opener at Northwestern University,C,2020-09-18,JV,RD1,NYU KS,Samford CW,Aff,
The NJDDT at the University of Houston,C,2020-02-29,Pol,Qrts,UT San Antonio HT,Houston KF,Neg,"Neg								2-1"
NDT District IIIMAC Championship,C,2020-02-21,NDTD3,R8,Wichita Benson & Hinecker,Emporia Monteith & Kuiper,Aff,
NDT District IIIMAC Championship,C,2020-02-21,NDTD3,R7,UTD Beutelspacher & Kaul,Houston Fox & Koort,Aff,
NDT District IIIMAC Championship,C,2020-02-21,NDTD3,R5,UTD Baez & Watson,UCO Colquitt & Huffman,Neg,
NDT District IIIMAC Championship,C,2020-02-21,NDTD3,R2,K-State Engle & Turner,Wichita Benson & Hinecker,Aff,
Texas Open,C,2020-02-01,OP,R5,Texas MR,Rochester AM,Neg,
Texas Open,C,2020-02-01,OP,R4,Trinity MR,Gonzaga HH,Aff,
Texas Open,C,2020-02-01,OP,R3,Dartmouth MS,UC Berkeley WB,Aff,
Texas Open,C,2020-02-01,OP,R2,Dartmouth GM,Harvard CT,Aff,
Texas Open,C,2020-02-01,OP,R1,Houston NT,Minnesota DR,Neg,
