Tournament,Lv,Date,Ev,Rd,Aff,Neg,Vote,Result
WACFL LD and Policy Metrofinals,HS,2019-03-01,WLD,Was-1,Walt Whitman HW,Heights GM,Neg,"Neg								2-0"
Pennsbury Falcon Invitational,HS,2019-02-01,JVLD,Semis,Dallastown IM,Oakton KM,Neg,"Neg								3-0"
Pennsbury Falcon Invitational,HS,2019-02-01,LD,Quarte,Catonsville RR,State AW,Aff,"Aff								3-0"
Pennsbury Falcon Invitational,HS,2019-02-01,LD,R5,Marriotts Ridge RP,First Colonial AC,Aff,
Pennsbury Falcon Invitational,HS,2019-02-01,LD,R5,Dallastown AR,La Salle AS,Neg,
Pennsbury Falcon Invitational,HS,2019-02-01,JVLD,R3,State EI,Lexington BF,Neg,
Pennsbury Falcon Invitational,HS,2019-02-01,JVLD,R3,Council Rock North JF,Unionville CM,Neg,
Pennsbury Falcon Invitational,HS,2019-02-01,LD,R2,Oakton WG,Pittsburgh Central Catholic NW,Neg,
Pennsbury Falcon Invitational,HS,2019-02-01,LD,R2,State LO,Oakton CS,Neg,
WACFL LD 2 Speech 2,HS,2018-11-17,LD-N,N-4,Heights AB,TJefferson AK,Aff,
WACFL LD 2 Speech 2,HS,2018-11-17,LD-N,N-4,Rock Ridge PV,Chantilly MR,Neg,
WACFL LD 2 Speech 2,HS,2018-11-17,LD-N,N-3,Walt Whitman GZ,Fairfax JW,Neg,
WACFL LD 2 Speech 2,HS,2018-11-17,LD-N,N-3,South Lakes RuJa,Oakcrest FN,Neg,
WACFL LD 2 Speech 2,HS,2018-11-17,LD-N,N-2,Oakton RN,Chantilly YR,Neg,
WACFL LD 2 Speech 2,MS,2018-11-17,LD-N,N-2,Alice Deal ZR,Fairfax WS,Neg,
WACFL LD 2 Speech 2,HS,2018-11-17,LD-N,N-1,Lake Braddock GD,Heights GM,Neg,
WACFL LD 1 Policy 1,HS,2018-10-20,LD-V,Round,Oakton CV,Jefferson MR,Neg,
WACFL LD 1 Policy 1,HS,2018-10-20,LD-JV,Round,South Lakes AS,C.D. Hylton JS,Neg,
WACFL LD 1 Policy 1,HS,2018-10-20,LD-JV,Round,South Lakes AP,Rock Ridge SP,Neg,
WACFL LD 1 Policy 1,HS,2018-10-20,LD-JV,Round,Chantilly DC,C.D. Hylton SS,Aff,
Yale Invitational,HS,2018-09-14,VLD,Trips,North Allegheny Sr ED,Cambridge Rindge and Latin AG,Neg,"Neg								3-0"
Yale Invitational,HS,2018-09-14,VLD,Trips,Harrison RA,Cambridge Rindge and Latin MB,Neg,"Neg								3-0"
Yale Invitational,HS,2018-09-14,VLD,R6,Ridge MC,Durham BD,Neg,
Yale Invitational,HS,2018-09-14,VLD,R5,BASIS Mesa HS,Stuyvesant SP,Aff,
Yale Invitational,HS,2018-09-14,VLD,R5,Niskayuna SR,McDowell SK,Aff,
Yale Invitational,HS,2018-09-14,VLD,R4,Pembroke Pines Charter RH,Montville AS,Neg,
Yale Invitational,HS,2018-09-14,VLD,R3,Livingston GL,Hill JM,Aff,
Yale Invitational,HS,2018-09-14,VLD,R3,Lexington KY,Chaminade CB,Neg,
Yale Invitational,HS,2018-09-14,VLD,R2,Cambridge Rindge and Latin MB,Chaminade CW,Aff,
Yale Invitational,HS,2018-09-14,VLD,R2,Pembroke Pines Charter KF,Sayville ES,Neg,
Wake Forest Fall Classic,HS,2017-10-21,Var,Octos,Alpharetta HS BM,Gulliver Prep GP,Neg,"Neg								3-0"
Wake Forest Fall Classic,HS,2017-10-21,Var,Double,Lexington HZ,Henry W. Grady WN,Aff,"Aff								2-1"
Wake Forest Fall Classic,HS,2017-10-21,Var,R4,Alpharetta HS SD,Lexington LZ,Aff,
Wake Forest Fall Classic,HS,2017-10-21,Var,R1,New Trier AK,McDonogh WZ,Aff,
RKS Workshop Tournament at Wake Forest,,2016-07-20,,6,Miller Schai & Klein,Franz & Schein,Aff,
RKS Workshop Tournament at Wake Forest,,2016-07-20,,4,Singh & Siegman,Dai & Li,Neg,
RKS Workshop Tournament at Wake Forest,,2016-07-20,,3,Zheng & Wimsatt,Elkasri & Tomchin,Aff,
RKS Workshop Tournament at Wake Forest,,2016-07-20,,2,Brague & Barker,Shulman & Valancy,Aff,
Policy Early Bird at Wake Forest,HS,2015-09-04,Var,R2,Seaholm SP,Niles West GG,Neg,
Policy Early Bird at Wake Forest,HS,2015-09-04,Var,R1,Whitney M. Young Magnet JR,Little Rock Central WW,Neg,
Michigan Summer Institute,,2015-08-04,POL,Dubs,HJPV MJ,BEFJR WL,Aff,"Aff								3-0"
Michigan Summer Institute,HS,2015-08-04,POL,R6,BT Cameron Jay,ZP Alexis-Mark,Neg,
Michigan Summer Institute,HS,2015-08-04,POL,R5,GHJMP CC,HJPV PM,Neg,
Michigan Summer Institute,,2015-08-04,POL,R4,BT Elliot Maretu,Hybrid HH,Neg,
Michigan Summer Institute,HS,2015-08-04,POL,R3,KM KP,CFFP SS,Neg,
Michigan Summer Institute,HS,2015-08-04,POL,R2,HJPV MB,CFFP FB,Aff,
Michigan Summer Institute,HS,2015-08-04,POL,R1,McShack JK,GHJMP SD,Neg,
